Year,Quarter,Town,3-room,4-room,5-room,Executive
2009,Q4,Bukit Timah,*,*,*,*
2009,Q4,Central,354000,456000,*,-
2009,Q4,Choa Chu Kang,*,336000,399000,470000
2009,Q4,Clementi,288500,429000,*,*
2009,Q4,Geylang,252500,397500,498500,*
2009,Q4,Hougang,260000,345000,427000,500000
2009,Q4,Jurong East,268000,342000,460000,*
2009,Q4,Jurong West,243500,336000,413000,475000
2009,Q4,Kallang/Whampoa,275000,438800,560500,*
2009,Q4,Marine Parade,354500,*,*,-
2009,Q4,Pasir Ris,*,360000,410000,512500
2009,Q4,Punggol,-,369000,430000,497500
2009,Q4,Queenstown,295000,505000,658500,*
2009,Q4,Sembawang,-,349000,400000,450000
2009,Q4,Sengkang,-,369000,420000,490000
2009,Q4,Serangoon,277500,357500,*,*
2009,Q4,Tampines,293000,370500,430000,515000
2009,Q4,Toa Payoh,286000,418000,550000,*
2009,Q4,Woodlands,233500,320000,372000,455000
2009,Q4,Yishun,248000,296000,388500,475500
2009,Q3,Ang Mo Kio,274000,371500,503000,*
2009,Q3,Bedok,252000,335000,465000,515000
2009,Q3,Bishan,290000,412500,538000,*
2009,Q3,Bukit Batok,255000,349000,463000,482000
2009,Q3,Bukit Merah,303500,489000,610000,-
2009,Q3,Bukit Panjang,253300,305000,378000,471500
2009,Q3,Bukit Timah,*,*,*,*
2009,Q3,Central,360000,*,*,-
2009,Q3,Choa Chu Kang,*,330000,385000,463000
2009,Q3,Clementi,280000,415000,532500,*
2009,Q3,Geylang,243800,372000,541000,*
2009,Q3,Hougang,250000,333000,408000,495000
2009,Q3,Jurong East,259500,335000,442000,535000
2009,Q3,Jurong West,235000,327000,400000,459000
2009,Q3,Kallang/Whampoa,270000,410000,530000,*
2009,Q3,Marine Parade,332000,*,*,-
2009,Q3,Pasir Ris,-,348000,400000,488000
2009,Q3,Punggol,-,352000,415000,*
2009,Q3,Queenstown,277500,523000,*,*
2009,Q3,Sembawang,-,340000,384000,435000
2009,Q3,Sengkang,-,352000,407500,480000
2009,Q3,Serangoon,268000,355000,426000,495000
2009,Q3,Tampines,282000,362000,415000,520000
2009,Q3,Toa Payoh,280000,406500,549000,*
2009,Q3,Woodlands,225500,310000,365000,451000
2009,Q3,Yishun,240000,292000,390000,440000
2009,Q2,Ang Mo Kio,256500,355500,488000,*
2009,Q2,Bedok,245000,330000,430000,497500
2009,Q2,Bishan,296900,399000,505000,590000
2009,Q2,Bukit Batok,243000,360000,459000,485000
2009,Q2,Bukit Merah,285000,461900,590000,-
2009,Q2,Bukit Panjang,232500,300000,377000,483000
2009,Q2,Bukit Timah,*,*,*,*
2009,Q2,Central,320000,446400,*,-
2009,Q2,Choa Chu Kang,225500,315000,368000,436500
2009,Q2,Clementi,272000,400000,506000,*
2009,Q2,Geylang,232000,363000,476900,*
2009,Q2,Hougang,240000,325000,386500,473900
2009,Q2,Jurong East,250000,330000,433500,543500
2009,Q2,Jurong West,223000,310300,388000,440000
2009,Q2,Kallang/Whampoa,257000,396000,515000,*
2009,Q2,Marine Parade,320000,*,620000,-
2009,Q2,Pasir Ris,-,339500,388000,485000
2009,Q2,Punggol,-,342000,395000,462900
2009,Q2,Queenstown,280000,479000,619000,*
2009,Q2,Sembawang,-,320000,365000,425000
2009,Q2,Sengkang,-,333000,386300,460000
2009,Q2,Serangoon,243500,335000,407500,480000
2009,Q2,Tampines,270000,351000,400000,490000
2009,Q2,Toa Payoh,268000,414000,535000,*
2009,Q2,Woodlands,213000,300000,350000,420000
2009,Q2,Yishun,231000,280000,370000,425000
2009,Q1,Ang Mo Kio,246000,340000,490000,*
2009,Q1,Bedok,235000,313000,430000,495000
2009,Q1,Bishan,288000,392000,515000,596800
2009,Q1,Bukit Batok,235000,345000,439500,488000
2009,Q1,Bukit Merah,275000,454000,555000,-
2009,Q1,Bukit Panjang,225000,295000,370000,420000
2009,Q1,Bukit Timah,*,*,*,*
2009,Q1,Central,306300,418900,*,-
2009,Q1,Choa Chu Kang,216000,304500,360000,427000
2009,Q1,Clementi,265000,388000,495000,*
2009,Q1,Geylang,215000,371000,457500,*
2009,Q1,Hougang,233000,306000,375000,460000
2009,Q1,Jurong East,240000,320000,446000,475000
2009,Q1,Jurong West,212000,301000,372000,420000
2009,Q1,Kallang/Whampoa,244000,386000,520000,*
2009,Q1,Marine Parade,300000,*,*,-
2009,Q1,Pasir Ris,-,326500,385000,471000
2009,Q1,Punggol,-,334500,388000,*
2009,Q1,Queenstown,275000,458000,588000,*
2009,Q1,Sembawang,-,313000,362000,416000
2009,Q1,Sengkang,-,326000,376900,455000
2009,Q1,Serangoon,228000,333000,404000,474000
